latitude,longitude,date,time,distance_in_m,speed_m/s,speed_kmh,formatted_time,total_time,total_distance
37.1432,-8.54523,2017-07-18,08:25:50,0.0,0.0,0.0,0 segundos,0 segundos,0.0
37.1433,-8.54499,2017-07-18,08:49:27,24.003640676618232,0.02,0.07,"23 minutos, 37 segundos","23 minutos, 37 segundos",24.003640676618232
37.1431,-8.5449,2017-07-18,08:49:49,23.626464308396585,1.07,3.85,22 segundos,"23 minutos, 59 segundos",47.63010498501482
37.1431,-8.54483,2017-07-18,08:52:33,6.204576425780534,0.04,0.14,"2 minutos, 44 segundos","26 minutos, 43 segundos",53.834681410795355
37.144,-8.54601,2017-07-18,08:53:14,144.75610453392935,3.53,12.71,41 segundos,"27 minutos, 24 segundos",198.5907859447247
37.1426,-8.54585,2017-07-18,08:53:38,156.31754816973958,6.51,23.44,24 segundos,"27 minutos, 48 segundos",354.9083341144643
37.153,-8.54342,2017-07-18,08:56:25,1176.312006994972,7.04,25.34,"2 minutos, 47 segundos","30 minutos, 35 segundos",1531.2203411094365
37.1526,-8.54931,2017-07-18,08:57:05,523.8953035485617,13.1,47.16,40 segundos,"31 minutos, 15 segundos",2055.115644657998
37.1532,-8.55107,2017-07-18,08:57:31,169.6499007677328,6.52,23.47,26 segundos,"31 minutos, 41 segundos",2224.765545425731
37.1537,-8.55266,2017-07-18,08:58:00,151.48471148109223,5.22,18.79,29 segundos,"32 minutos, 10 segundos",2376.2502569068233
37.1549,-8.55292,2017-07-18,09:02:22,135.40882487599728,0.52,1.87,"4 minutos, 22 segundos","36 minutos, 32 segundos",2511.6590817828205
37.1531,-8.55112,2017-07-18,09:04:50,255.94538371491737,1.73,6.23,"2 minutos, 28 segundos","39 minutos, 0 segundos",2767.6044654977377
37.1522,-8.5512,2017-07-18,09:05:17,100.3262741401874,3.72,13.39,27 segundos,"39 minutos, 27 segundos",2867.930739637925
37.1505,-8.55114,2017-07-18,09:05:41,189.1061554165171,7.88,28.37,24 segundos,"39 minutos, 51 segundos",3057.036895054442
