latitude,longitude,date,time,distance_in_m,speed_m/s,speed_kmh,formatted_time,total_time,total_distance
39.88781,116.36422,2008-02-02,13:33:52,0.0,0.0,0.0,0 segundos,0 segundos,0.0
39.88782,116.37481,2008-02-02,13:37:16,903.5399032988225,4.43,15.95,"3 minutos, 24 segundos","3 minutos, 24 segundos",903.5399032988225
39.88791,116.37677,2008-02-02,13:38:53,167.52633382680423,1.73,6.23,"1 minutos, 37 segundos","5 minutos, 1 segundos",1071.0662371256267
39.88795,116.38033,2008-02-02,13:42:18,303.7713954124897,1.48,5.33,"3 minutos, 25 segundos","8 minutos, 26 segundos",1374.8376325381164
39.89014,116.39392,2008-02-02,13:43:55,1184.774638689904,12.21,43.96,"1 minutos, 37 segundos","10 minutos, 3 segundos",2559.6122712280203
39.89152,116.41149,2008-02-02,13:47:20,1506.8407580302633,7.35,26.46,"3 minutos, 25 segundos","13 minutos, 28 segundos",4066.4530292582836
39.89194,116.42105,2008-02-02,13:48:57,816.9489726076645,8.42,30.31,"1 minutos, 37 segundos","15 minutos, 5 segundos",4883.4020018659485
39.89823,116.4215,2008-02-02,13:52:21,700.4688807722221,3.43,12.35,"3 minutos, 24 segundos","18 minutos, 29 segundos",5583.870882638171
39.89902,116.4215,2008-02-02,13:53:58,87.84399204924121,0.91,3.28,"1 minutos, 37 segundos","20 minutos, 6 segundos",5671.714874687412
39.90726,116.42972,2008-02-02,13:57:23,1153.7555880027046,5.63,20.27,"3 minutos, 25 segundos","23 minutos, 31 segundos",6825.470462690117
39.91176,116.4302,2008-02-02,13:59:00,502.0492500249128,5.18,18.65,"1 minutos, 37 segundos","25 minutos, 8 segundos",7327.5197127150295
39.908,116.44396,2008-02-02,14:02:25,1245.8728631629667,6.08,21.89,"3 minutos, 25 segundos","28 minutos, 33 segundos",8573.392575877997
39.90807,116.4441,2008-02-02,14:04:02,14.254098931780481,0.15,0.54,"1 minutos, 37 segundos","30 minutos, 10 segundos",8587.646674809777
39.90392,116.45478,2008-02-02,14:09:03,1021.1866786313273,3.39,12.2,"5 minutos, 1 segundos","35 minutos, 11 segundos",9608.833353441105
39.88981,116.4551,2008-02-02,14:12:28,1569.1978870137998,7.65,27.54,"3 minutos, 25 segundos","38 minutos, 36 segundos",11178.031240454904
39.88333,116.45485,2008-02-02,14:14:05,720.8587797454746,7.43,26.75,"1 minutos, 37 segundos","40 minutos, 13 segundos",11898.890020200379
39.88052,116.46018,2008-02-02,14:17:30,551.7863938115698,2.69,9.68,"3 minutos, 25 segundos","43 minutos, 38 segundos",12450.676414011949
39.88109,116.4578,2008-02-02,14:19:07,212.74315287069896,2.19,7.88,"1 minutos, 37 segundos","45 minutos, 15 segundos",12663.419566882647
39.88104,116.45848,2008-02-02,16:02:25,58.28909549864851,0.01,0.04,"1 horas, 43 minutos, 18 segundos","2 horas, 28 minutos, 33 segundos",12721.708662381296
39.88104,116.45851,2008-02-02,16:03:10,2.5598541260672976,0.06,0.22,45 segundos,"2 horas, 29 minutos, 18 segundos",12724.268516507364
39.87517,116.4554,2008-02-02,16:07:27,704.6019706386354,2.74,9.86,"4 minutos, 17 segundos","2 horas, 33 minutos, 35 segundos",13428.870487146
39.8785,116.45531,2008-02-02,16:08:12,370.3587437193769,8.23,29.63,45 segundos,"2 horas, 34 minutos, 20 segundos",13799.229230865376
39.88053,116.4554,2008-02-02,16:12:28,225.85630483424035,0.88,3.17,"4 minutos, 16 segundos","2 horas, 38 minutos, 36 segundos",14025.085535699616
39.86868,116.45478,2008-02-02,16:22:32,1318.7216851779078,2.18,7.85,"10 minutos, 4 segundos","2 horas, 48 minutos, 40 segundos",15343.807220877525
39.8669,116.45445,2008-02-02,16:23:17,199.92070144754496,4.44,15.98,45 segundos,"2 horas, 49 minutos, 25 segundos",15543.72792232507
39.84569,116.46708,2008-02-02,16:28:18,2593.170326496194,8.62,31.03,"5 minutos, 1 segundos","2 horas, 54 minutos, 26 segundos",18136.898248821264
39.83097,116.42174,2008-02-02,16:32:35,4203.008418471691,16.35,58.86,"4 minutos, 17 segundos","2 horas, 58 minutos, 43 segundos",22339.906667292955
39.83099,116.41076,2008-02-02,16:33:20,937.592873914755,20.84,75.02,45 segundos,"2 horas, 59 minutos, 28 segundos",23277.49954120771
39.82268,116.39512,2008-02-02,16:37:37,1624.0800889687914,6.32,22.75,"4 minutos, 17 segundos","3 horas, 3 minutos, 45 segundos",24901.579630176504
39.822,116.39516,2008-02-02,16:38:22,75.68967692694876,1.68,6.05,45 segundos,"3 horas, 4 minutos, 30 segundos",24977.269307103452
39.80646,116.39601,2008-02-02,16:42:38,1729.4936112903345,6.76,24.34,"4 minutos, 16 segundos","3 horas, 8 minutos, 46 segundos",26706.762918393786
39.80351,116.39626,2008-02-02,16:43:23,328.71947177173416,7.3,26.28,45 segundos,"3 horas, 9 minutos, 31 segundos",27035.48239016552
39.7915,116.39229,2008-02-02,16:47:40,1377.8473674183308,5.36,19.3,"4 minutos, 17 segundos","3 horas, 13 minutos, 48 segundos",28413.32975758385
39.7899,116.39145,2008-02-02,16:48:25,191.84266407445622,4.26,15.34,45 segundos,"3 horas, 14 minutos, 33 segundos",28605.172421658306
39.80046,116.38921,2008-02-02,16:53:27,1189.7114177806868,3.94,14.18,"5 minutos, 2 segundos","3 horas, 19 minutos, 35 segundos",29794.883839438993
39.81015,116.39642,2008-02-02,16:57:43,1241.084221220094,4.85,17.46,"4 minutos, 16 segundos","3 horas, 23 minutos, 51 segundos",31035.96806065909
39.81256,116.39631,2008-02-02,16:58:28,268.144433735518,5.96,21.46,45 segundos,"3 horas, 24 minutos, 36 segundos",31304.112494394605
39.82989,116.39534,2008-02-02,17:02:45,1928.7878910831514,7.51,27.04,"4 minutos, 17 segundos","3 horas, 28 minutos, 53 segundos",33232.900385477755
39.8369,116.39496,2008-02-02,17:03:30,780.1514876169841,17.34,62.42,45 segundos,"3 horas, 29 minutos, 38 segundos",34013.05187309474
39.85653,116.39413,2008-02-02,17:07:47,2183.9062277256708,8.5,30.6,"4 minutos, 17 segundos","3 horas, 33 minutos, 55 segundos",36196.95810082041
39.86041,116.39436,2008-02-02,17:08:32,431.8827501849985,9.6,34.56,45 segundos,"3 horas, 34 minutos, 40 segundos",36628.84085100541
39.8706,116.40309,2008-02-02,17:12:48,1356.1030482256072,5.3,19.08,"4 minutos, 16 segundos","3 horas, 38 minutos, 56 segundos",37984.94389923102
39.87071,116.40728,2008-02-02,17:13:33,357.7895679958045,7.95,28.62,45 segundos,"3 horas, 39 minutos, 41 segundos",38342.73346722682
39.88249,116.41766,2008-02-02,17:17:50,1581.2522572520506,6.15,22.14,"4 minutos, 17 segundos","3 horas, 43 minutos, 58 segundos",39923.98572447887
