latitude,longitude,Date,Time,velocity_km/h,velocity_m/s
37.1432,-8.54523,18-07-2017,08:25:50,0.0,0.0
37.1433,-8.54499,18-07-2017,08:49:27,0.06,0.02
37.1431,-8.5449,18-07-2017,08:49:49,3.86,1.07
37.1431,-8.54483,18-07-2017,08:52:33,0.14,0.04
37.144,-8.54601,18-07-2017,08:53:14,12.71,3.53
37.1426,-8.54585,18-07-2017,08:53:38,23.4,6.5
37.153,-8.54342,18-07-2017,08:56:25,25.31,7.03
37.1526,-8.54931,18-07-2017,08:57:05,47.26,13.13
37.1532,-8.55107,18-07-2017,08:57:31,23.53,6.54
37.1537,-8.55266,18-07-2017,08:58:00,18.84,5.23
37.1549,-8.55292,18-07-2017,09:02:22,1.86,0.52
37.1531,-8.55112,18-07-2017,09:04:50,6.22,1.73
37.1522,-8.5512,18-07-2017,09:05:17,13.35,3.71
37.1505,-8.55114,18-07-2017,09:05:41,28.31,7.86
37.1459,-8.54913,18-07-2017,09:06:41,32.45,9.01
37.1445,-8.54889,18-07-2017,09:07:10,19.47,5.41
37.1434,-8.54846,18-07-2017,09:07:40,15.35,4.26
37.1409,-8.54415,18-07-2017,09:08:59,21.55,5.99
37.1409,-8.54341,18-07-2017,09:09:20,11.27,3.13
37.1411,-8.54355,18-07-2017,09:09:45,3.66,1.02
37.1411,-8.54357,18-07-2017,09:10:11,0.25,0.07
37.1411,-8.54338,18-07-2017,09:10:32,2.89,0.8
37.1404,-8.53941,18-07-2017,09:10:53,61.92,17.2
37.1402,-8.53946,18-07-2017,09:11:20,3.02,0.84
37.1395,-8.53863,18-07-2017,09:11:40,19.28,5.36
37.1373,-8.54034,18-07-2017,09:12:21,25.25,7.01
37.137,-8.54019,18-07-2017,09:12:42,6.15,1.71
37.1355,-8.54114,18-07-2017,09:13:53,9.46,2.63
37.1365,-8.54048,18-07-2017,09:14:35,10.76,2.99
37.1365,-8.5401,18-07-2017,09:15:47,1.69,0.47
37.1367,-8.53942,18-07-2017,09:16:13,8.91,2.48
37.137,-8.53853,18-07-2017,09:17:07,5.72,1.59
37.137,-8.53853,18-07-2017,09:17:27,0.0,0.0
37.137,-8.53853,18-07-2017,09:17:51,0.0,0.0
37.1456,-8.54138,18-07-2017,09:19:12,43.89,12.19
37.1456,-8.54138,18-07-2017,10:04:04,0.0,0.0
